740,<= numLines,,,,,,,
S0R0,S0R1,S0R2,S0R3,S0R4,S0R5,S0R6,S0R7,S0R8
3625,-100,15724,44,-45,521,22,144,-48
3641,-3,15749,42,89,465,23,149,-55
3708,-58,15633,15,93,438,18,146,-64
3876,-79,15874,-2,45,435,25,137,-63
3915,-77,15638,-24,56,436,21,135,-65
3642,-26,15692,-28,-27,445,23,143,-67
3422,7,15871,-30,-126,460,24,134,-62
3479,87,15694,-25,-150,475,25,139,-59
3333,-4,15210,-33,-141,475,29,135,-61
3304,59,15058,-44,-172,510,25,145,-59
3266,93,14918,-31,-149,543,21,137,-57
3654,-59,14211,-1,-99,593,22,136,-62
3848,23,14398,19,-125,509,21,143,-55
3907,10,14717,72,42,383,21,143,-55
3443,10,14893,100,194,291,14,136,-56
3727,-623,14650,158,243,336,14,130,-54
3307,262,14697,172,199,220,19,137,-59
3596,-153,14765,55,299,185,16,134,-66
3309,-85,14951,-24,344,181,13,145,-59
3147,14,15047,-46,215,187,18,140,-64
3194,30,15578,-79,134,193,10,142,-50
3112,-77,15776,-85,128,144,18,146,-56
2748,-92,16324,-38,125,63,17,141,-69
2560,-158,16233,32,144,112,10,138,-60
2826,-165,16094,79,66,221,18,144,-58
3311,-249,15791,160,88,329,23,141,-59
3205,3,15812,168,178,225,14,140,-62
2948,357,16020,179,205,163,17,141,-71
3015,433,15883,223,25,95,21,135,-55
2787,354,16491,418,-236,-90,13,131,-67
2639,332,17524,587,-276,-200,15,127,-67
2617,167,17809,710,-270,-330,22,136,-64
2563,202,17859,888,-248,-354,12,132,-60
2445,278,18067,911,-260,-295,13,135,-69
2363,364,17533,869,-150,-344,3,145,-69
2291,168,17225,742,9,-412,7,137,-67
2228,210,16989,621,197,-536,9,137,-73
2580,475,16727,514,382,-497,3,139,-75
2769,393,16349,363,513,-309,11,137,-69
2320,478,15983,267,531,-136,3,145,-69
2029,550,15964,199,462,7,13,143,-73
1908,893,15924,140,403,89,4,142,-74
1915,1271,15847,142,256,111,2,152,-74
1796,812,16257,76,75,182,-1,143,-71
1382,372,16123,19,177,128,-2,144,-74
1150,22,15768,7,393,16,3,143,-77
1411,239,15886,-31,567,-23,7,149,-83
1544,251,16138,-4,657,-32,8,146,-72
1785,329,16779,42,766,-106,-3,149,-75
1592,607,17072,76,984,-161,-2,158,-78
1417,528,16705,74,1116,-152,4,160,-74
1185,-129,18118,138,1265,-53,-5,149,-75
945,811,14782,124,1452,-9,1,163,-87
1577,944,15408,-48,1290,177,2,168,-80
984,780,15992,-59,1369,372,4,176,-88
623,860,16050,-83,1269,494,2,158,-90
370,786,15775,-201,984,556,6,170,-90
62,532,16170,-229,828,657,-2,174,-88
26,673,15504,-242,775,706,-4,168,-82
-121,364,15843,-293,665,731,-1,163,-77
-181,459,15278,-266,683,778,-5,171,-87
-507,590,16022,-256,646,681,-3,165,-93
-447,368,15758,-162,666,567,-1,159,-83
-545,420,15628,-93,651,491,1,173,-85
-266,529,15303,-44,586,420,-2,174,-90
-271,323,16326,62,520,345,5,175,-93
2,891,15582,163,643,289,-5,175,-95
-252,920,15768,226,706,186,-3,175,-101
-451,1120,15466,290,862,198,-3,175,-99
-408,1182,14212,190,1034,303,-1,177,-95
-194,1298,12951,-51,875,377,-11,179,-99
-552,829,12557,-192,404,370,0,170,-98
-701,769,12740,-288,-77,377,-5,183,-97
-763,719,13250,-416,-636,394,-10,172,-100
-605,1536,13287,-529,-1087,435,-9,173,-101
295,1422,13681,-584,-1105,526,-7,165,-83
449,272,14504,-385,-883,575,0,160,-90
524,-249,14752,128,-584,650,-9,163,-77
-12,-28,14630,705,-465,803,1,159,-85
-617,1427,14798,1215,-550,1020,-7,157,-89
-869,1541,14952,1468,-729,1246,-19,161,-77
-307,1406,14720,1654,-986,1269,-16,158,-84
6197,6723,32767,1487,-1406,1246,-15,151,-81
-2511,1593,1588,-2902,5433,914,-29,153,-89
-1411,4827,23847,-1769,1776,605,-15,157,-85
720,-1800,12769,-1648,2447,79,-11,161,-91
-350,1356,15287,-1213,1576,526,-16,166,-92
-620,218,13336,-1172,1731,517,-12,164,-92
-1378,580,13642,-961,1481,590,-10,164,-90
-1509,-27,14336,-865,1153,669,-10,178,-94
-1748,-218,14301,-681,1004,750,-8,170,-90
-1650,88,13938,-457,985,775,-1,175,-97
-2265,1349,12899,-135,1079,754,-9,173,-91
-3006,2046,12146,50,1012,680,-3,173,-89
-3264,2130,12343,90,715,603,-8,170,-94
-3527,2063,13456,48,355,520,-8,170,-94
-3777,1917,14878,-67,-6,432,-11,179,-103
-3130,1056,15829,-224,-266,376,-17,179,-95
